,Game,Platform,Content_Descriptor,Interactive_Elements,Ratings_Summary
18,Oddworld Soulstorm,Nintendo Switch,"Blood and Gore,Language,Use of Tobacco,Violence",No Interactive Elements,"This is an adventure-platformer in which players assume the role of a character trying to save his people from an evil force. From a mostly side-scrolling perspective (i.e., 2.9D), players traverse platform environments, solve puzzles, and engage in various combat tasks (e.g., mind-controlling guards to shoot at one another, using characters to attack enemies). Enemy guards use missiles and machine guns to attack players and unarmed characters attempting to flee. Combat is highlighted by cries of pain, gunfire, and explosions; missiles sometimes cause enemies to explode into jibs or small chunks of flesh. A handful of cutscenes depict characters with bloody gunshot wounds. During the course of the game, a character is frequently depicted smoking a cigar. The word “sh*t” appears in the dialogue."
19,Resident Evil 4,Meta Quest 2,"Blood and Gore,Intense Violence,Language",No Interactive Elements,"This is a VR action-horror action game in which players assume the role of a man (Leon Kennedy) attempting to rescue a character from a mysterious cult. From a first-person perspective, players use pistols, rifles, shotguns, and machine guns to kill infected humans and mutant creatures. Some attacks result in decapitation, accompanied by large blood-splatter effects; several levels depict large bloodstains and/or impaled bodies. Cutscenes depict further instances of intense violence: a character decapitated by a chainsaw; a man impaled through the chest; a character's face burning from acidic fluids. The word “sh*t” appears in the dialogue."
20,Song in the Smoke,PlayStation 4,"Blood and Gore,Violence",No Interactive Elements,"This is a survival/adventure game in which players make their way through several wilderness environments collecting resources, hunting, and crafting tools/weapons/potions. From a first-person perspective, players use spears, arrows, and axes to attack deer, boar, lions, lizards, and other animals. Animals scratch and bite the player, eventually resulting in blood pooling across the screen when the player is killed. Players can butcher animal carcasses to obtain pelts, bones, and meat as well as “raw gut,” which is briefly depicted as a handful of entrails in the player's hand. Small splatters of blood also appear during butchering sequences."
21,Triangle Strategy,Windows PC,"Blood,Fantasy Violence,Language,Mild Suggestive Themes,Use of Alcohol",No Interactive Elements,"This is a role-playing adventure game in which players follow the story of a nobleman whose kingdom is on the brink of war. As players progress through the narrative, they can interact with characters to gain allies, make dialogue choices, and engage in tactical turn-based combat. Presented from a 3/4-overhead perspective, players position characters on a grid-based area, using weapon strikes and magic to defeat enemy forces. Battles are accompanied by cries of pain, impact sounds, and screen-shaking effects. Cutscenes depict additional acts of violence and blood: a character with a pool of blood underneath his body; a character killed by an arrow; a character executed off-screen. Some female characters are designed in outfits with moderate amounts of cleavage; the dialogue contains some suggestive innuendo (e.g., “You really must use your head more often. The one atop of your shoulders, that is""; “You seem like an honest man. I will thoroughly enjoy laying you down….hahaha.”). The game contains some references to wine, ale, and getting ""tipsy"" in dialogue; a drunk character is depicted slurring his speech, hiccupping, then passing out. The word “sh*te” is heard in the game."
22,Kukoos: Lost Pets,"PlayStation 4, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,"This is an adventure platformer in which players control oceanic characters through various worlds. From sideways and overhead perspectives, players traverse whimsical platforms and use power-ups to defeat enemy pets that emit cries of pain and disappear into puffs of smoke when struck/jumped on. Boss battles depict more protracted violence (e.g., shooting a giant crab with a cannon; deflecting large bullets fired from a cartoony machine-gun turret)."
23,Operation Wolf Returns: First Mission,"PlayStation 4, PlayStation 5, Nintendo Switch","Blood,Mild Suggestive Themes,Use of Tobacco,Violence",No Interactive Elements,"This is an arcade-style first-person shooter in which players engage in combat missions to disband a criminal network. While infiltrating enemy bases, players use pistols, machine guns, and grenade launchers to destroy vehicles and kill enemy soldiers. Firefights can be frenetic, highlighted by realistic gunfire, cries of pain, and large explosions. Enemies emit brief splashes of blood when hit. As players make their way through each level, they must avoid shooting civilians including a running woman with jiggling breasts. The game often depicts a sergeant holding and/or smoking a cigar."
24,RWBY: Arrowfell,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series",Fantasy Violence,No Interactive Elements,"This is an action platformer in which players control warriors that battle various enemies while progressing through a storyline. Players traverse platforms, solve puzzles, interact with characters, and battle small enemies (e.g., robots, cyborgs, human figures). Characters use swords and futuristic blasters to defeat enemies; combat is highlighted by fantastical gunfire, impact sounds, and brief explosions."
25,The Eternal Castle [Remastered],PlayStation 4,"Mild Blood,Strong Language,Violence",No Interactive Elements,No Rating Summary
26,Vampire the Masquerade - Coteries of New York,"PlayStation 4, Nintendo Switch","Blood,Mild Violence,Sexual Themes,Strong Language",No Interactive Elements,"This is a visual novel in which players navigate a conflict between vampiric factions in New York. As players follow the storyline, they make dialogue/action choices that can influence the plot; cutscene text can describe violent acts in detail (e.g., “His lifeless body crumples to the ground and begins to decompose in real time”; “You hear the shears click. . .[her] red hair conceals her face as her head falls, separated from the shoulders”). One still image depicts a bedroom with two corpses lying in pools of blood. Sexual material appears in the text/dialogue (e.g., “On top of the bedsheets, you notice what seems to be...pieces of elaborate S&M equipment""; “...feeling up a sex worker at a nightclub;” “[F]un fact about being a vampire...Some of us can even orgasm”; “This is not a sex show?”). The words “f**k,” “c*nt,” and “sh*t” appear in the game."
27,Vampire the Masquerade - Shadows of New York,"PlayStation 4, Nintendo Switch","Blood,Drug Reference,Mild Violence,Sexual Themes,Strong Language",No Interactive Elements,"This is a visual novel in which players assume the role of a vampire investigating a murder while navigating conflicts between New York's clans. As players follow the storyline, they make dialogue/action choices to affect the plot. One interrogation scene gives players the option to “do whatever is necessary”; the torture sequence is described in text (no actions depicted). Another scene depicts the aftermath of a gunfight, with corpses lying in pools of blood. The game references sexual material (e.g., “[He's] a... sexual predator...”; “...some weird psychosexual stuff with her brother”; “You just told me your bosses are having Eyes Wide Shut parties, and suddenly you don't believe in rich people's pedophile rings?”). The game includes brief drug content: references to Ketamine and MDMA; dialogue such as “Maybe this one time, the high won't end”; ""I have to replenish my stash""; ""No drugs tonight""; “What are you, a junkie?”). The words “f**k,” “c*nt,” and “sh*t” appear in the game."
28,Stranded: Alien Dawn,Windows PC,"Blood,Fantasy Violence,Mild Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a survival strategy game in which players manage the fate of survivors from a crashed-landed space cruise. From a top-down perspective, players explore an alien world, direct survivors to scavenge/gather resources, engage in expeditions, and occasionally battle hostile aliens. Characters use arrows, guns, and machine-gun turrets to kill attacking aliens or hunt animals for food. Some creatures emit splatters of blood when injured; human characters are also depicted with splatters of blood when wounded or attacked. Players have the option to harvest human meat from corpses for survival (though the game does not encourage players to do so). The game contains some mildly suggestive material: non-specific references to characters flirting and telling suggestive/inappropriate jokes; a character bio that reads, “Yokko was a highly sought-after escort…”; players' ability to remove characters' clothing (down to their underwear) and place them in bed together. Characters can distill moonshine and consume alcohol (e.g., wine, ale); survivors that drink too much alcohol can become drunk and vomit. Players can also grow tobacco-like crops that can later be smoked by survivors."
29,Octopath Traveler II,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Mild Blood,Mild Language,Suggestive Themes,Use of Alcohol and Tobacco",No Interactive Elements,"This is a role-playing game in which players follow the stories of eight characters in a fantasy world. From a top-down perspective, players explore towns while interacting with figures and battling enemies (e.g., monsters, human villains). Combat is turn-based, with players selecting attack moves from a menu then watch characters perform brief actions on screen. Characters use spears, swords, and elemental attacks to deplete opponents' health bars; battles are highlighted by impact sounds and cries of pain. Cutscenes sometimes depict small defenseless characters killed by bladed weapons. Swords or bags are sometimes depicted with blood stains. The game contains some suggestive material: a female character designed with low-cut clothing and deep cleavage; dialogue such as ""...another brothel girl...[H]ow about entertaining us instead? I'm sure you'll find us more satisfying than the lord himself”; “After you downed three full glasses of wine, you and I got up to all sorts of naughty hijinks”; “Why don't you come have some fun with us?...[W]e were told we could have our way with you…”). Characters are sometimes depicted drinking liquor and/or hiccupping and drunk; one scene depicts a character smoking a cigarette. The words “p*ssed” and “bastard” appear in the game."
30,Super Perils of Baking,PlayStation 4,"Alcohol Reference,Mild Fantasy Violence,Mild Language",No Interactive Elements,No Rating Summary
31,SEGA Genesis Mini 2,Plug-and-Play,"Blood and Gore,Mild Suggestive Themes,Violence",No Interactive Elements,"This is a collection of classic Sega Genesis games from the 80s and 90s. Games include action/adventure titles in which players can attack realistic and fantastical enemies by using axes, swords, guns, and other melee weapons. One side-scrolling game depicts blood-splattered rooms and enemies that burst into splatters of blood and viscera when killed. Other games depict one-on-one fighting, with characters punching and kicking each other in attempts to drain opponents' health meters. A handful of games depict female characters in revealing outfits (e.g., low-cut/bra-like tops, deep cleavage)."
32,Green Lava Studios Volume 2,PlayStation 4,"Sexual Themes,Use of Drugs",No Interactive Elements,No Rating Summary
33,Paradigm Paradox,Nintendo Switch,"Blood,Fantasy Violence,Mild Language",No Interactive Elements,"This is a visual novel in which players follow a high-school girl navigating a world filled with monsters and superheroes. As players read through text (accompanied by voices and pictures), they can encounter some still-screen images that depict battles between characters and monsters (Vectors); combat sounds include cries of pain, gunfire, and explosions. A handful of still images depict blood: characters' faces or clothing splattered with blood; corpses lying in pools/splatters of blood. The words “a*s” and “p*sses me off” appear in the game."
34,Persona 5 Royal,"Windows PC, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood,Drug Reference,Partial Nudity,Sexual Themes,Strong Language,Violence",No Interactive Elements,"This is a role-playing game in which players assume the role of a high-school student who enters an alternate world and uses special powers to change the hearts of people in the real world. As players explore themed areas of the “Metaverse,” they engage in turn-based combat against fantastical creatures (e.g., demons, evil spirits, shadow creatures). Characters use blades, pipes, firearms, and Personas (i.e., creatures that enable magical attacks) to defeat enemies; battles are highlighted by light effects, impact sounds, and cries of pain.  Some cutscenes depict characters ripping masks off their faces as blood sprays. One cutscene depicts a man shooting another character in the head at close range; blood is shown pooling on the floor and splattering the victim's clothes. Several female monsters/Personas are depicted with exposed breasts, and a handful of creatures have phallic-shaped heads, torsos, or appendages. Various Personas (e.g., Succubus, Incubus) have sexual characteristics that are described in text (e.g., “They visit sleeping men/women and have sexual intercourse with them”); dialogue also includes sexual references (e.g., “Apparently he's been forcing young idols and other girls to have sex with him to move up in the ranks”). Drug smuggling for the mafia is briefly discussed during a side quest (e.g., “Like illegal drugs…? Maybe they made Iida smuggle drugs for them.”). The words “f**k,” “sh*t,” and “a*shole” appear in the dialogue."
35,STAR OCEAN THE DIVINE FORCE,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Fantasy Violence,Language,Mild Suggestive Themes",No Interactive Elements,"This is a role-playing game in which players control fighters trying to prevent war between interplanetary factions. From a third-person perspective, players explore various worlds while performing quests and battling enemies. Players use swords, guns, explosives, and magic spells to kill enemies (e.g., thieves, knights, robots, giant animals). Combat can be frenetic, highlighted by dwindling health bars/hit points, gunfire, and occasional explosions. Cutscenes sometimes depict further instances of violence, such as a man shot at close range. Some female characters are designed with revealing outfits (e.g., deep cleavage, outline of buttocks). The words “sh*t” and “a*shole” appear in the game."
36,Tin Hearts,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch",No Descriptors,No Interactive Elements,This is a puzzle game in which players create paths for tin soldiers to march through. Players solve various puzzles and rearrange blocks/objects to direct soldiers around an inventor's whimsical workshop.
37,Atelier Ryza 3: Alchemist of the End & the Secret Key,"Windows PC, PlayStation 4, PlayStation 5, Nintendo Switch","Fantasy Violence,Mild Language,Suggestive Themes",No Interactive Elements,"This is a role-playing game in which players control Ryza and her friends as they search for the source of a mysterious voice. From a third-person perspective, players explore environments (e.g., towns, forests), interact with characters, and battle various enemies (e.g., fairies, knights, wolves, monsters). Characters use swords, staffs, spears, bombs, and magic to defeat enemies; battles can be frenetic, highlighted by impact sounds, light effects, and explosions/fiery blasts. Some female characters are designed with large breasts and revealing outfits (e.g., deep cleavage, swimsuits), and brief/moderate jiggling effects. The word “p*ssed” appears in the game."
38,SIGNALIS,"PlayStation 4, Nintendo Switch","Blood,Violence",No Interactive Elements,"This is an action role-playing game in which players assume the role of a humanoid android in a dystopian future. From a 3/4-overhead perspective, players explore a cold planet, search for resources, and battle malfunctioning androids. Players use pistols and shotguns to shoot and destroy androids, resulting in blood effects that stain the ground. Battles are highlighted by realistic gunfire and cries of pain. Cutscenes depict additional acts of violence and blood: a woman choked to death; a character impaled in the head. Large blood stains and bloodied corpses are depicted in several environments."
39,Age of Empires II: Definitive Edition,"Xbox One, Xbox Series","Mild Blood,Mild Language,Violence",No Interactive Elements,"This is a real-time strategy game in which players control empires from the Dark Age through the Imperial Age. From an overhead perspective, players complete campaigns, build structures, gather resources, and command/deploy military units (e.g., infantry, horsemen, war elephants) against nearby civilizations. Players can zoom in on military units, while they use swords, bows, and cannons to eliminate enemy forces and structures; battles are accompanied by weapon clashes, cries of pain, and explosions. Some battlefields depict impaled soldiers on spikes, and a handful of cutscenes depict images of soldiers impaled by arrows. One still-image sequence shows a large bloodstain on the ground along with blood splatter on parchment. The word “bastard” is heard in the game."
40,void* tRrLM2(); //Void Terrarium 2,"PlayStation 4, Nintendo Switch","Blood and Gore,Fantasy Violence",No Interactive Elements,"This is a role-playing game in which players help a robot keep a girl alive in a post-apocalyptic world. From a 3/4-overhead perspective, players search through maze-like levels, keep the girl in good health, and battle other robots in melee-style combat. Battles are highlighted by flashes of light, impact sounds, and depleting health bars. A handful of sequences depict blood/gore: large blood splatters that stain the screen; a bloodied arm that falls off the girl's shoulder."
41,Wanted: Dead,"Windows PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series","Blood and Gore,Intense Violence,Strong Language,Suggestive Themes",No Interactive Elements,"This is a third-person shooter in which players assume the role of a police squad member (Hannah Stone) engaging in combat missions in a futuristic Hong Kong. Players use machine guns, shotguns, explosives, and melee weapons (e.g., swords, chainsaws) to kill enemy soldiers in frenetic combat. Battles are highlighted by realistic gunfire, explosions, and large blood-splatter effects. Several attacks result in the dismemberment and/or decapitation of enemies; other attacks result in enemies sliced in half or exploding into pieces. Players can perform finishing attacks and trigger slow-motion effects (Bullet-time). The game contains references to suggestive material: a sexual joke referencing four testicles; a character depicted with deep cleavage; dialogue stating,; “A good bowl of soup is better than sex”; “There's more male nudity in your stories than in a Joaquin Phoenix film”; “…[H]ow does it feel going d*wn on your sister?”). The words “f**k” and “sh*t” are heard in the game."
42,LOVE 3,Nintendo Switch,Mild Fantasy Violence,No Interactive Elements,No Rating Summary
43,DoDonPachi Resurrection,Nintendo Switch,"Fantasy Violence,Partial Nudity",No Interactive Elements,No Rating Summary
44,Curse of the Dead Gods,"PlayStation 4, Nintendo Switch","Blood,Fantasy Violence,Partial Nudity",No Interactive Elements,"This is an action-adventure game in which players assume the role of an explorer searching for treasure amid cavernous temples and tombs. From a top-down perspective, players collect objects (e.g., coins, jewels, relics) while battling hordes of fantastical creatures (e.g., skeletons, ghouls, witches, demons). Players use swords, hammers, and pistols to kill enemies in frenetic combat; battles are highlighted by gunfire, cries of pain, and blood-splatter effects. Some environments depict blood stains on traps, blades, and spikes. A witch creature/character is depicted topless, though from a mostly distant perspective."
45,JoJo Siwa: Worldwide Party,"Windows PC, PlayStation 4, PlayStation 5, Stadia, Nintendo Switch, Xbox One, Xbox Series",No Descriptors,No Interactive Elements,"This is a rhythm-based game in which players help JoJo and her pet dog travel through fantasy worlds. As players run through side-scrolling environments, they collect bows, jump, dash, and slide in time with music."
46,Eagle Island Twist,Nintendo Switch,Fantasy Violence,No Interactive Elements,No Rating Summary
47,"Warhammer 40,000: Shootas, Blood & Teef","PlayStation 4, PlayStation 5, Nintendo Switch","Blood and Gore,Violence",No Interactive Elements,"This is an action side-scrolling shooter in which players assume the role of an orc on a quest for revenge. Players traverse 2D platform environments and use guns, rocket launchers, lasers, and spears to kill various enemies (e.g., orcs, human soldiers). Combat is frenetic at times, highlighted by gunfire, cries of pain, and stylized blood-splatter effects. Although gameplay is depicted in cartoony manner, some weapon attacks can result in decapitation and dismemberment, with small body parts littering the environment."
48,Shady Part Of Me,"PlayStation 4, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
49,A Plague Tale : Requiem,"Windows PC, PlayStation 5, Nintendo Switch, Xbox Series","Blood and Gore,Strong Language,Violence",No Interactive Elements,"This is an adventure game in which players assume the roles of siblings Amicia and Hugo as they journey to a remote island in 14th-century France. From a third-person perspective, players traverse dark environments, avoid guards/soldiers, and use light sources to ward of swarms of rats. Soldiers can kill players by using swords and axes or setting them on fire. Players can fight back, using a sling and a crossbow, attacking enemies from a distance; stealth attacks allow players to strangle enemies from behind. Blood-splatter effects occur when characters are hit/injured, and corpses are sometimes depicted with exposed entrails/viscera. A handful of environments depict bound corpses hanging over and/or lying in pools of blood. Additional acts of violence include a soldier striking a villager with an ax and a woman slitting a bound captive's throat (off-screen). The word “f**k” appears in the game."
50,Jigsaw Fun 3-in-1 Collection,Nintendo Switch,No Descriptors,No Interactive Elements,"This is a collection of 300 jigsaw puzzles in which players can arrange various sized pieces into completed images. Images include nature scenes, animals, and cities of the world."
51,The Outer Worlds: Spacer's Choice Edition,"Windows PC, PlayStation 5, Xbox Series","Blood and Gore,Intense Violence,Strong Language,Use of Drugs",No Interactive Elements,No Rating Summary
52,Lovers in a Dangerous Spacetime,Nintendo Switch,Fantasy Violence,No Interactive Elements,No Rating Summary
53,Winds & Leaves,"Windows PC, PlayStation 4",No Descriptors,No Interactive Elements,No Rating Summary
54,Ninja JaJaMaru: The Great Yokai Battle +Hell - Deluxe Edition,"PlayStation 4, Nintendo Switch","Fantasy Violence,Mild Language",No Interactive Elements,"This is a collection of 2D action platformers in which players control a ninja battling human and supernatural enemies. As players traverse platform environments or jump between buildings floors, they can throw shuriken at various enemies (e.g., samurai, demons, skeletons, ghosts). Some games allow players to use elemental/magical special attacks (e.g., fireballs). Boss battles contain more frenetic combat, with players avoiding large amounts of projectiles, laser blasts, and giant swords. The word “hell” appears in some games."
55,Recompile,PlayStation 5,"Fantasy Violence,Language",No Interactive Elements,"This is an adventure platformer in which players control a humanoid program/AI trying to uncover their origins and avoid deletion in a virtual world. Players traverse stylized platforms while searching for clues of past users and battling droids. Enemies shoot machine gun-like projectiles and lasers at players, who can shoot back using a pixilated machine gun-like weapon. Combat is highlighted by gunfire, screen-shaking effects, and explosions. The word “sh*t” appears in the game."
56,Baldo The Guardian Owls,"PlayStation 4, Nintendo Switch",Mild Fantasy Violence,No Interactive Elements,No Rating Summary
57,Charon's Staircase,"PlayStation 4, PlayStation 5, Nintendo Switch, Xbox One, Xbox Series","Blood and Gore,Violence",No Interactive Elements,"This is a puzzle-adventure game in which players help an investigator find confidential documents from a central European estate. From a first-person perspective, players explore the estate, interact with objects, and solve puzzles. Creatures will sometimes kill players if they get too close, and mutated creatures can be seen consuming human bodies. Some areas depict blood stains, bloodied corpses, and gore (e.g., partially exposed brains; decapitated and/or mutilated corpses)."
58,NASCAR Rivals,Nintendo Switch,"Alcohol Reference,Mild Lyrics",No Interactive Elements,This is a racing game in which players drive realistic stock cars through NASCAR events/cups. Players can customize their cars as they participate in races around the U.S. Accompanying song lyrics contain the word “hell.”
